Metal,Antibody,Panel
108Pd,CD45,CeD
108Pd,CD45,Autoimmune
115In,CD57,CeD
115In,CD57,Autoimmune
139La,CD28,CeD
139La,CD28,Autoimmune
141Pr,CD49d,CeD
141Pr,CD49d,Autoimmune
142Nd,KLRG1,CeD
142Nd,KLRG1,Autoimmune
143Nd,ICOS,CeD
143Nd,ICOS,Autoimmune
144Nd,CD38,CeD
144Nd,CD38,Autoimmune
145Nd,CD4,CeD
145Nd,CD4,Autoimmune
146Nd,CD8a,CeD
146Nd,CD8a,Autoimmune
147Sm,CD137,CeD
147Sm,TIGIT,Autoimmune
148Nd,CD27,CeD
148Nd,CD27,Autoimmune
149Sm,CD56,CeD
149Sm,CD56,Autoimmune
150Nd,CD127,CeD
150Nd,CD127,Autoimmune
151Eu,CD11c_CD14_CD19,CeD
151Eu,CD11c_CD14_CD19,Autoimmune
152Sm,CD244,CeD
152Sm,TCRgd,Autoimmune
153Eu,CD62L,CeD
153Eu,CD62L,Autoimmune
154Sm,CD3,CeD
154Sm,CD3,Autoimmune
155Gd,PD-1,CeD
155Gd,PD-1,Autoimmune
156Gd,CCR5,CeD
156Gd,CD29,Autoimmune
158Gd,CCR4,CeD
158Gd,CCR4,Autoimmune
159Tb,CD161,CeD
159Tb,CD161,Autoimmune
160Gd,CD39,CeD
160Gd,CD39,Autoimmune
161Dy,CTLA-4,CeD
161Dy,CTLA-4,Autoimmune
162Dy,Integrin b7,CeD
162Dy,Integrin b7,Autoimmune
163Dy,CXCR3,CeD
163Dy,CXCR3,Autoimmune
164Dy,OX40,CeD
164Dy,CD200,Autoimmune
165Ho,PE_tetramer,CeD
165Ho,CD103,Autoimmune
166Er,CD85j,CeD
166Er,CCR2,Autoimmune
167Er,CCR7,CeD
167Er,CCR7,Autoimmune
168Er,CD73,CeD
168Er,CD73,Autoimmune
169Tm,CD25,CeD
169Tm,CD25,Autoimmune
170Er,CD45RA,CeD
170Er,CD45RA,Autoimmune
171Yb,CXCR5,CeD
171Yb,CXCR5,Autoimmune
172Yb,CD69,CeD
172Yb,CD69,Autoimmune
173Yb,HLA-DR,CeD
173Yb,HLA-DR,Autoimmune
174Yb,CCR6,CeD
174Yb,CCR6,Autoimmune
175Lu,CXCR4,CeD
175Lu,CX3CR1,Autoimmune
176Yb,CLIP,CeD
176Yb,TCRab,Autoimmune
191Ir,DNA1,CeD
193Ir,DNA2,CeD
191Ir,DNA1,Autoimmune
193Ir,DNA2,Autoimmune
195Pt,Dead cells,CeD
195Pt,Dead cells,Autoimmune
209Bi,CD11b,CeD
209Bi,CD11b,Autoimmune
89Y,CD45,CeD
89Y,CD45,Autoimmune

